"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2019","    11130.55","    11161.00","    11051.50","    11148.80","      261689768","        11055.54"
"02-Jan-2019","    11110.15","    11139.45","    10977.65","    11032.00","      479573539","        18785.98"
"03-Jan-2019","    11035.70","    11059.55","    10904.85","    10914.80","      463008349","        18406.36"
"04-Jan-2019","    10940.90","    10981.45","    10869.45","    10966.15","      463083403","        17840.07"
"07-Jan-2019","    11044.05","    11070.20","    10983.55","    11005.10","      408861633","        15628.94"
"08-Jan-2019","    11018.90","    11047.45","    10967.85","    11031.30","      411383722","        16615.01"
"09-Jan-2019","    11089.45","    11098.35","    10973.10","    11078.00","      485649256","        19477.34"
"10-Jan-2019","    11083.65","    11087.65","    11032.05","    11054.45","      394891069","        15393.94"
"11-Jan-2019","    11067.15","    11081.85","    10970.75","    11025.85","      372755460","        15876.42"
"14-Jan-2019","    11033.65","    11034.45","    10918.35","    10965.05","      413114985","        15822.62"
"15-Jan-2019","    11005.05","    11117.45","    11005.05","    11107.75","      415959403","        17766.77"
"16-Jan-2019","    11120.65","    11151.25","    11097.40","    11111.65","      382299958","        15799.34"
"17-Jan-2019","    11141.45","    11151.70","    11066.70","    11123.90","      392333417","        16047.72"
"18-Jan-2019","    11135.25","    11146.45","    11066.85","    11109.50","      455935490","        19391.67"
"21-Jan-2019","    11122.10","    11188.50","    11090.65","    11153.35","      426708208","        20047.15"
"22-Jan-2019","    11142.75","    11142.75","    11057.60","    11124.35","      460402016","        21251.26"
"23-Jan-2019","    11133.25","    11145.10","    11015.75","    11034.80","      431966710","        18429.71"
"24-Jan-2019","    11047.85","    11064.25","    11000.50","    11049.05","      521455279","        19562.47"
"25-Jan-2019","    11062.55","    11128.70","    10941.85","    10968.30","      629065512","        24720.16"
"28-Jan-2019","    10978.90","    10985.35","    10803.25","    10836.65","      583915207","        24860.62"
"29-Jan-2019","    10826.40","    10868.00","    10763.15","    10829.95","      518523830","        22257.29"
"30-Jan-2019","    10879.45","    10886.90","    10788.25","    10829.50","      567122863","        24677.79"
"31-Jan-2019","    10869.25","    11002.50","    10853.90","    10996.80","      836962479","        32388.83"
